,data,ratio,type
941,pcc,0.0,random
942,pcc,0.007692307692307693,random
943,pcc,0.0,random
944,pcc,0.0,random
945,pcc,0.007692307692307693,random
946,pcc,0.0,random
947,pcc,0.0,random
948,pcc,0.015503875968992248,random
949,pcc,0.007692307692307693,random
950,pcc,0.0,random
951,pcc,0.0,random
952,pcc,0.0,random
953,pcc,0.007692307692307693,random
954,pcc,0.0,random
955,pcc,0.0,random
956,pcc,0.015503875968992248,random
957,pcc,0.0,random
958,pcc,0.0,random
959,pcc,0.0,random
960,pcc,0.0,random
961,pcc,0.0,random
962,pcc,0.0,random
963,pcc,0.0,random
964,pcc,0.0,random
965,pcc,0.007692307692307693,random
966,pcc,0.0,random
967,pcc,0.0,random
968,pcc,0.0,random
969,pcc,0.0,random
970,pcc,0.0,random
971,pcc,0.0,random
972,pcc,0.0,random
973,pcc,0.0,random
974,pcc,0.0,random
975,pcc,0.0,random
976,pcc,0.0,random
977,pcc,0.0,random
978,pcc,0.0,random
979,pcc,0.0,random
980,pcc,0.0,random
981,pcc,0.007692307692307693,random
982,pcc,0.007692307692307693,random
983,pcc,0.007692307692307693,random
984,pcc,0.007692307692307693,random
985,pcc,0.0,random
986,pcc,0.0,random
987,pcc,0.0,random
988,pcc,0.007692307692307693,random
989,pcc,0.0,random
990,pcc,0.0,random
991,pcc,0.0,random
992,pcc,0.007692307692307693,random
993,pcc,0.007692307692307693,random
994,pcc,0.0,random
995,pcc,0.0,random
996,pcc,0.007692307692307693,random
997,pcc,0.007692307692307693,random
998,pcc,0.0,random
999,pcc,0.0,random
1000,pcc,0.0,random
1001,pcc,0.0,random
1002,pcc,0.0,random
1003,pcc,0.0,random
1004,pcc,0.0,random
1005,pcc,0.0,random
1006,pcc,0.0,random
1007,pcc,0.0,random
1008,pcc,0.0,random
1009,pcc,0.0,random
1010,pcc,0.0,random
1011,pcc,0.007692307692307693,random
1012,pcc,0.0,random
1013,pcc,0.0,random
1014,pcc,0.0,random
1015,pcc,0.0,random
1016,pcc,0.0,random
1017,pcc,0.007692307692307693,random
1018,pcc,0.0,random
1019,pcc,0.0,random
1020,pcc,0.007692307692307693,random
1021,pcc,0.007692307692307693,random
1022,pcc,0.0,random
1023,pcc,0.007692307692307693,random
1024,pcc,0.007692307692307693,random
1025,pcc,0.007692307692307693,random
1026,pcc,0.007692307692307693,random
1027,pcc,0.0,random
1028,pcc,0.0,random
1029,pcc,0.0,random
1030,pcc,0.0,random
1031,pcc,0.0,random
1032,pcc,0.0,random
1033,pcc,0.0,random
