orf_name,deg,eff,sens,trans,eigenvec_centr,closeness_centr,smallest_eigenvec,neighbor_degree,gene1,Systematic gene name
mdh2,13,0.43181853108183194,2.328116874645979,0.6923076923076923,0.0017383953768778046,0.22696215837421163,-0.0005489969933291318,50.46153846153846,mdh2,YOL126C
sec4-8,24,1.7188916956271507,1.541816678486213,0.5036231884057971,0.004889377364769266,0.23814338235294116,-0.0005445854636165956,25.875,sec4-8,YFL005W
smx3-5001,30,2.263126756873772,2.7418119164945334,0.8045977011494253,0.0032253479353290438,0.22655532724172606,-0.0005476309298161383,53.166666666666664,smx3-5001,YPR182W
snu23-5001,36,3.0520336140203455,2.425437852180435,0.6365079365079365,0.0034671405576295364,0.2360389906167441,-0.0005475048475445894,50.75,snu23-5001,YDL098C
spp381-5001,43,4.1011660319983445,2.39206900594002,0.574750830564784,0.0038523365218179413,0.24001852709587773,-0.00054597667234385,47.116279069767444,spp381-5001,YBR152W
syf2,15,0.541808900752448,1.923600808570525,0.6571428571428571,0.0016783783357400173,0.2351819914677317,-0.0005512493548741006,50.13333333333333,syf2,YGR129W
yhc1-8,47,4.8357556664402646,2.641310021250105,0.6318223866790009,0.005347646304686511,0.23467077257494792,-0.0005479087384542864,47.5531914893617,yhc1-8,YLR298C
bfa1,8,0.3691506665319183,0.8133737758488634,0.21428571428571427,0.0004710917336607392,0.2279305036287662,-0.0005592972274273079,30.5,bfa1,YJR053W
boi2,5,0.07770033384251869,1.185096958012179,0.3,0.0002098858069724963,0.21904721646869849,-0.0005476704638511332,37.8,boi2,YER114C
dig1,2,0.029371077701764177,3.0135946390141455,1.0,3.5181446336025456e-07,0.19148621683541497,-0.0006052365428612771,39.5,dig1,YPL049C
fal1-1,34,4.38738978444396,2.246459220576239,0.5561497326203209,3.459575679323093e-05,0.22905892233567607,-0.000583107468417356,27.88235294117647,fal1-1,YDR021W
kre33-5001,3,0.06568718098655955,3.0050353697606687,1.0,2.7416025844608953e-07,0.1849525305160968,-0.0005990301198144635,28.333333333333332,kre33-5001,YNL132W
krr1-17,11,0.7761256569538018,2.2365460427169466,0.6,1.3722134734434682e-06,0.20230333788795626,-0.0005908575157035087,28.545454545454547,krr1-17,YCL059C
lcp5-5005,37,4.947832862392321,2.148615518100302,0.539039039039039,1.0399858778851715e-05,0.23243922131515207,-0.0005821659700754409,30.783783783783782,lcp5-5005,YER127W
lcp5-5007,34,4.488210865666424,2.305245147407032,0.5935828877005348,1.2484975966179144e-05,0.22821156471572643,-0.0005834746127790116,30.352941176470587,lcp5-5007,YER127W
mpp10-5001,40,5.796007901029272,2.197984577105567,0.4782051282051282,3.929916303936025e-05,0.22922103773167604,-0.0005838309875910652,26.325,mpp10-5001,YJR002W
mtr3-ts,27,3.6572437397175426,2.3350686597102874,0.4700854700854701,5.1442317585111e-06,0.21163113615943804,-0.0005887674488374577,26.51851851851852,mtr3-ts,YGR158C
pop3-5001,10,0.7848114180859113,2.3551262600921974,0.4666666666666667,1.875109226683145e-06,0.20404788155615058,-0.0005918669487352975,23.3,pop3-5001,YNL282W
rcl1-5004,27,3.066705846562477,2.3677867053372257,0.6381766381766382,3.363366735608092e-05,0.22031376216997578,-0.0005833656592971403,30.814814814814813,rcl1-5004,YOL010W
rio2-1,11,0.48459976163726537,1.58779494302108,0.45454545454545453,5.029597590706936e-06,0.21603368491266103,-0.0005788422820803877,28.09090909090909,rio2-1,YNL207W
snm1-5001,7,0.47604830756419536,2.239722730220184,0.38095238095238093,4.292096048472255e-07,0.19391535381506567,-0.0005972028955558545,17.857142857142858,snm1-5001,YDR478W
sof1-5001,15,1.1927575929282193,2.6187086091465566,0.8380952380952381,3.383334831622605e-06,0.20670948183014878,-0.0005867855715364775,33.46666666666667,sof1-5001,YLL011W
utp13-5001,40,6.090493046888099,2.3044851998280302,0.46794871794871795,7.641309167844078e-06,0.22273801848269933,-0.0005858300813835408,26.225,utp13-5001,YLR222C
utp14-5001,28,3.406407036497003,2.348485980191221,0.6058201058201058,5.5558802312441695e-06,0.2211505633321953,-0.0005844563561046473,29.607142857142858,utp14-5001,YML093W
utp15-5001,22,2.3478163688738376,2.196652447402791,0.5367965367965368,4.2978393678019165e-06,0.21473562075252775,-0.0005861468473693667,27.09090909090909,utp15-5001,YMR093W
utp6-5001,23,2.585782828155228,2.452019552338243,0.6086956521739131,4.253251100230747e-06,0.21221180228510586,-0.0005876528756787113,28.91304347826087,utp6-5001,YDR449C
utp7-5003,22,2.145934230745102,2.352899771663228,0.7445887445887446,1.0697642180513421e-05,0.2263277428371768,-0.0005845947107293982,32.0,utp7-5003,YER082C
utp7-5004,18,1.5894213383861033,2.5417055434856035,0.8562091503267973,8.826780137824399e-06,0.21704712041884816,-0.0005855510707496133,31.055555555555557,utp7-5004,YER082C
utp8-5002,22,2.231289708418191,2.486989667847987,0.7792207792207793,5.5131579420771275e-06,0.21149293935188965,-0.00058505107502649,32.72727272727273,utp8-5002,YGR128C
utp9-5001,24,2.4000732539861884,1.7077317842057833,0.40942028985507245,1.1842771990527183e-05,0.22392187364964133,-0.0005836148680775828,27.375,utp9-5001,YHR196W
flc2,15,0.715824540348527,3.609435240732203,0.6666666666666666,0.013691598542874548,0.22051063829787235,-0.000530007665614582,58.6,flc2,YAL053W
yur1,19,1.0193041305735089,3.6906656073847914,0.8128654970760234,0.019409689009584948,0.223265833692374,-0.0005228287720012001,70.94736842105263,yur1,YJL139C
ycg1-2,18,2.6829085175946443,2.259888629212694,0.26143790849673204,3.869866999782081e-05,0.21433593911568846,-0.0005858706028813691,32.888888888888886,ycg1-2,YDR325W
bil1,4,0.12999287146946514,0.9048895815803277,0.3333333333333333,2.198632823142929e-06,0.21089044440826957,-0.0005384692165210826,29.0,bil1,YOR304C-A
cin1,67,9.103218272249364,2.7404423886729505,0.4631388511985527,0.0004047829053802882,0.2428417451614415,-0.0005735515322912884,51.95522388059702,cin1,YOR349W
cin2,61,7.522518451162705,2.583725681911844,0.4601092896174863,0.000388584748476686,0.2468912287388632,-0.0005725586613484687,51.78688524590164,cin2,YPL241C
cin4,16,0.729100080415332,3.076195815151462,0.7333333333333333,7.441823436314524e-05,0.2187420852680456,-0.0005775873362649203,54.3125,cin4,YMR138W
clb4,17,0.6879945883187761,2.476535297395812,0.6985294117647058,6.711716754616217e-05,0.23025994223505888,-0.0005662231731315288,52.76470588235294,clb4,YLR210W
ipl1-2,43,4.276973626645505,3.0309085734227588,0.7353266888150609,0.00018888295538706658,0.24064270456023035,-0.0005773040770023774,63.93023255813954,ipl1-2,YPL209C
kap95-e126k,22,1.3168383606757323,1.7873204423380085,0.46320346320346323,4.4655796456090456e-05,0.23345497139253052,-0.0005765416479725189,37.22727272727273,kap95-e126k,YLR347C
kar9,25,1.4198776508779885,2.213991021359583,0.5266666666666666,0.0002510234777890391,0.236243446546615,-0.0005656722920613505,45.36,kar9,YPL269W
kip3,28,2.028571883976996,2.9486314756792704,0.6058201058201058,0.00010889818501283234,0.22729067064344927,-0.0005759412223554983,48.285714285714285,kip3,YGL216W
lsm6,13,0.5794373444739503,1.4379768963278354,0.4230769230769231,0.0005466496704803464,0.23246007536335905,-0.0005625735957156884,43.30769230769231,lsm6,YDR378C
mdm20-supp1,16,0.7369946066384911,3.154874160699217,0.7166666666666667,6.184192708483018e-05,0.2240671077096035,-0.0005799890599326042,70.625,mdm20-supp1,YOL076W
mps1-417,29,2.383685448076406,3.380748668058213,0.8448275862068966,0.00013045580475502333,0.21845622022680325,-0.0005791359474567919,67.51724137931035,mps1-417,YDL028C
nup57-e17,21,1.0816183151491843,1.5335086511873606,0.48095238095238096,5.0343073177481235e-05,0.24120275553900578,-0.0005700946231322354,38.23809523809524,nup57-e17,YGR119C
